source_type,product_id,product_name,periodo,pedidos_confirmados,preventa_confirmada,promocion_producto,cliente_grande_confirmado,cambio_pvp_pct,precio_planificado,riesgo_quiebre_stock,disponibilidad_materia_prima,ajuste_comercial_manual,observacion
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-05-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-06-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-07-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-08-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-09-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-10-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-11-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2025-12-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-01-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-02-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-03-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-04-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-05-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-06-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-07-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-08-01,,,,,,,,,,
PT,PT_5614,MANI EN GRANO FUNDA 500 GRS (5614),2026-09-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-01-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-02-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-03-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-04-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-05-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-06-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-07-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-08-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-09-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-10-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-11-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2023-12-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-01-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-02-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-03-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-04-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-05-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-06-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-07-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-08-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-09-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-10-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-11-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2024-12-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-01-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-02-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-03-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-04-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-05-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-06-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-07-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-08-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-09-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-10-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-11-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2025-12-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-01-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-02-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-03-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-04-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-05-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-06-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-07-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-08-01,,,,,,,,,,
PT,PT_5620,APANAD DISP. X 10($0.25) (5620),2026-09-01,,,,,,,,,,
PT,PT_5637,* ASI COCINO RICO DISP X 10 ($0.25)(5637),2023-01-01,,,,,,,,,,
PT,PT_5637,* ASI COCINO RICO DISP X 10 ($0.25)(5637),2023-02-01,,,,,,,,,,
