source_type,product_id,product_name,periodo,cantidad_predicha,prediccion_min,prediccion_max,confianza_prediccion,requiere_revision,recomendacion_decision,estado_producto,es_estacional,meses_estacionales,error_absoluto_total,wape_producto,prioridad_revision,criterio_experto,cantidad_ajustada_experto,motivo_ajuste,responsable_revision
PP,PP_5a365b4f1f,CEBOLLA EN POLVO GRANEL,2026-03-01,4135.73,3838.2,4433.26,alta,False,usar como cantidad sugerida,activo,False,"enero, diciembre, septiembre",806.8205130042943,0.0719411959878996,normal,,,,
PP,PP_5c7edf6553,PAPRIKA SELECCIONADA,2026-03-01,4128.93,4092.25,4165.61,alta,False,usar como cantidad sugerida,activo,False,"diciembre, octubre, febrero",98.66410320538309,0.0088846398480491,normal,,,,
PP,PP_a97d13706a,CANELA RAMA SELECIONADA MOLER,2026-03-01,3888.72,3606.46,4170.98,alta,True,revisar antes de ordenar,activo,True,"diciembre, enero, febrero",543.2147691221667,0.0725836746119266,normal,,,,
PP,PP_4d7b8b92a2,ENG ISHPINGO DISP X 10 (0.75),2026-03-01,3794.36,3574.07,4014.65,alta,False,usar como cantidad sugerida,activo,False,"octubre, septiembre",0.0,0.0580567262506976,normal,,,,
PP,PP_813bdbb52e,LO ENG BICARBONATO DISPLAY X30,2026-03-01,3770.82,3551.9,3989.74,alta,True,revisar antes de ordenar,activo,True,"marzo, mayo, octubre",0.0,0.0580567262506976,normal,,,,
PP,PP_3e6e1db1ff,ENG TOMILLO FDA 10G $0.25,2026-03-01,3671.46,3571.25,3771.67,alta,False,usar como cantidad sugerida,activo,False,"enero, diciembre, febrero",348.82251344303677,0.0272944063726945,normal,,,,
PP,PP_672b792ecc,CURCUMA MOLIDA..,2026-03-01,3658.77,3449.66,3867.88,alta,False,usar como cantidad sugerida,activo,False,"septiembre, enero, diciembre",498.355329026635,0.057154117670352,normal,,,,
PP,PP_d4b7f2cd70,* ACHIOTE PASTA GRANEL (VASOS),2026-03-01,3510.53,3387.48,3633.58,alta,True,revisar antes de ordenar,activo,True,"septiembre, julio, enero",276.0272719732584,0.0350510821553344,normal,,,,
PP,PP_2ce87705e7,MAYONESA KILOS GRANEL LIMON (FZ,2026-03-01,3501.1,3289.21,3712.99,alta,False,usar como cantidad sugerida,activo,False,"diciembre, enero, agosto",769.3030934581429,0.0605214352214096,normal,,,,
PP,PP_769f58fee9,ACHIOTE ESENCIA GRANEL,2026-03-01,3473.68,3300.5,3646.86,alta,True,revisar antes de ordenar,activo,False,"diciembre, agosto, junio",946.1884021463176,0.0498539665605672,alta,,,,
PP,PP_c4c738a9ab,ENG S. TOMATE DP X12 ),2026-03-01,2572.75,2422.0,2723.5,alta,True,revisar antes de ordenar,activo,True,"julio, enero, octubre",931.6482828505376,0.0585942316258199,alta,,,,
PP,PP_1baf9b23e9,ANIS ESTRELLADO SELECCIONADO,2026-03-01,2508.06,2424.27,2591.85,alta,False,usar como cantidad sugerida,activo,False,"octubre, noviembre, enero",103.25858650286438,0.0334099902942307,normal,,,,
PP,PP_e791e06876,BBQ ORIGINAL PRODUCCIÓN GRANEL,2026-03-01,2507.56,2417.75,2597.37,alta,False,usar como cantidad sugerida,activo,False,"septiembre, julio, diciembre",264.25139919087906,0.0358145755661016,normal,,,,
PP,PP_9863243b8d,MOSTAZA GRANEL PARA SAZONADOR C,2026-03-01,2387.31,2218.16,2556.46,alta,True,revisar antes de ordenar,activo,True,"octubre, enero, septiembre",820.4878438799428,0.0708538725284924,normal,,,,
PP,PP_4cb268bf6f,CLAVO OLOR SELECCIONADO,2026-03-01,2376.46,2331.02,2421.9,alta,False,usar como cantidad sugerida,activo,False,"enero, noviembre, octubre",75.29608341741607,0.0191218435679244,normal,,,,
PP,PP_47f96c267a,SALSA DE ALBAHACA GRANEL,2026-03-01,2348.83,2208.27,2489.39,alta,False,usar como cantidad sugerida,activo,False,"julio, noviembre, enero",487.30850823589594,0.0598405477083909,normal,,,,
PP,PP_e7834c6d04,SMART SELECTION OREGANO FUNDA 6,2026-03-01,2140.68,2057.39,2223.97,alta,True,revisar antes de ordenar,activo,True,"enero, diciembre, noviembre",399.6721691305495,0.0389088949698743,normal,,,,
PP,PP_e6b669353b,* SAZONADOR A LAS FINAS HIERBAS,2026-03-01,2118.25,2019.81,2216.69,alta,False,usar como cantidad sugerida,activo,False,"enero, octubre, julio",233.81121136526963,0.0464741028354739,normal,,,,
PP,PP_a231c5a021,COMBO AJO PASTA BOT 300G,2026-03-01,2070.89,1996.61,2145.17,alta,False,usar como cantidad sugerida,activo,False,"septiembre, enero, julio",163.19707909796853,0.0358674899116414,normal,,,,
PP,PP_ccab01e7f1,SMART SELECTION CANELA FUNDA  1,2026-03-01,1982.27,1812.96,2151.58,alta,True,revisar antes de ordenar,activo,True,"diciembre, enero, noviembre",536.0625039754456,0.085414675585635,normal,,,,
PP,PP_f2386d81fa,LO ENG ALIÑO COMPLETO DISPLAY,2026-03-01,1873.76,1764.98,1982.54,alta,True,revisar antes de ordenar,activo,True,"junio, noviembre, mayo",0.0,0.0580567262506976,normal,,,,
PP,PP_ad683ea17f,COMBO CHIMICHURRI BOT 380 GRS,2026-03-01,1872.58,1793.02,1952.14,alta,False,usar como cantidad sugerida,activo,False,"diciembre, enero, mayo",254.90799483266687,0.0424846658054444,normal,,,,
PP,PP_9c3d4be488,COMBO CHIMICHURRI BOT 500 GRS,2026-03-01,1854.6,1816.15,1893.05,alta,False,usar como cantidad sugerida,activo,False,"diciembre, julio, noviembre",131.87412226991682,0.020734924885207,normal,,,,
PP,PP_72daca8338,AENG LEVADURA DISP X 30..,2026-03-01,1833.76,1727.3,1940.22,alta,True,revisar antes de ordenar,activo,True,"marzo, septiembre, octubre",0.0,0.0580567262506976,normal,,,,
PP,PP_8f2205469c,COMBO ALINO BOTELLA 380 GRS,2026-03-01,1758.12,1640.18,1876.06,alta,False,usar como cantidad sugerida,activo,False,"diciembre, noviembre, agosto",409.0113430414374,0.0670840319897388,normal,,,,
PP,PP_55a4c4660b,* CHIMICHURRI ADEREZO NATURAL G,2026-03-01,1743.06,1559.48,1926.64,alta,False,usar como cantidad sugerida,activo,False,"febrero, enero, diciembre",480.676775674712,0.1053210344779733,normal,,,,
PP,PP_819cf915d0,COMBO ACHIOTE ACEITE BOT 190 CC,2026-03-01,1725.85,1645.81,1805.89,alta,False,usar como cantidad sugerida,activo,False,"enero, septiembre, octubre",244.8711545236158,0.0463771125991696,normal,,,,
PP,PP_6e91e3ccfb,SMART SELECTION CEBOLLA FUNDA,2026-03-01,1705.32,1634.9,1775.74,alta,True,revisar antes de ordenar,activo,True,"diciembre, febrero, noviembre",249.7616294567017,0.0412965657170472,normal,,,,
PP,PP_a8fe971c63,*CALDO DE GALLINA GRANEL AL ART,2026-03-01,1696.17,1619.82,1772.52,alta,False,usar como cantidad sugerida,activo,False,"julio, octubre, febrero",87.14837945389644,0.0450146588088308,normal,,,,
PP,PP_24891e8c4c,*MIEL DE MAPLE KILOS GRANEL,2026-03-01,1686.72,1552.59,1820.85,alta,False,usar como cantidad sugerida,activo,False,"mayo, julio, febrero",372.80045199096185,0.0795183794291154,normal,,,,
PP,PP_b73a6fa81e,ENG MOSTAZA DP X12 ),2026-03-01,1681.74,1571.54,1791.94,alta,False,usar como cantidad sugerida,activo,False,"diciembre, octubre, agosto",550.4304201177783,0.0655274309664021,normal,,,,
PP,PP_8dec223758,CANELA RAMA SELECIONADA,2026-03-01,1608.97,1529.1,1688.84,alta,False,usar como cantidad sugerida,activo,False,"noviembre, enero, octubre",108.03725145134716,0.0496376102454134,normal,,,,
PP,PP_043c5b653f,ENG ROMERO FDA 10G 10 $0.25,2026-03-01,1565.43,1435.4,1695.46,alta,True,revisar antes de ordenar,activo,True,"enero, agosto, noviembre",581.457870395403,0.0830654100564861,normal,,,,
PP,PP_8752c58b77,SM.SELECTION CANELA FUNDA  100G,2026-03-01,1485.21,1398.98,1571.44,alta,False,usar como cantidad sugerida,activo,False,"octubre, agosto, mayo",0.0,0.0580567262506976,normal,,,,
PP,PP_f1559f2334,SMART SELECTION LAUREL FUNDA  3,2026-03-01,1351.12,1271.16,1431.08,alta,True,revisar antes de ordenar,activo,True,"diciembre, enero, febrero",327.4029228602244,0.0591834640022097,normal,,,,
PP,PP_1bc78e63bb,*QUESO CHEDDAR KILOS GRANEL,2026-03-01,1231.65,1126.51,1336.79,alta,True,revisar antes de ordenar,activo,True,"diciembre, agosto, enero",493.44772827651514,0.0853690684316404,normal,,,,
PP,PP_f634eb02cd,CURRY LIBRAS GRANEL PRODUCCION,2026-03-01,1216.06,1123.9,1308.22,alta,True,revisar antes de ordenar,activo,True,"septiembre, enero, febrero",270.25895530619425,0.0757877047970258,normal,,,,
PP,PP_ad54a4fb15,SMART SELECTION AJO FUNDA  300G,2026-03-01,1211.76,1176.76,1246.76,alta,True,revisar antes de ordenar,activo,True,"diciembre, noviembre, febrero",161.50824746678836,0.0288820185026445,normal,,,,
PP,PP_c40b2f1d73,SMART SELECTION COMINO MOLIDO F,2026-03-01,1210.1,1156.59,1263.61,alta,True,revisar antes de ordenar,activo,True,"diciembre, febrero, noviembre",198.4562558410227,0.0442193083424738,normal,,,,
PP,PP_1832a1fd36,* SIROPE CHOCOLATE KILOS GRANEL,2026-03-01,1064.52,1024.67,1104.37,alta,False,usar como cantidad sugerida,activo,False,"febrero, marzo, noviembre",99.2457007924184,0.0374319974625921,normal,,,,
PP,PP_3c0207c0b4,* SAZONA PAVO PASTA GRANEL,2026-03-01,1056.89,995.53,1118.25,alta,True,revisar antes de ordenar,activo,True,"octubre, noviembre, septiembre",0.0,0.0580567262506976,normal,,,,
PP,PP_85da1012d4,COMBO ACHIOTE ACEITE BOT 340 CC,2026-03-01,1051.22,986.34,1116.1,alta,False,usar como cantidad sugerida,activo,False,"febrero, diciembre, julio",259.20585176930285,0.0617156789926911,normal,,,,
PP,PP_cc790fee2b,SALSA DE AJO GRANEL,2026-03-01,1043.97,973.95,1113.99,alta,False,usar como cantidad sugerida,activo,False,"noviembre, agosto, febrero",148.735680337063,0.0670705629225572,normal,,,,
PP,PP_4cb6e35920,HARINA DE MOSTAZA PRODUCCION GR,2026-03-01,1028.52,954.62,1102.42,alta,False,usar como cantidad sugerida,activo,False,"diciembre, septiembre, agosto",244.5583809097085,0.0718496895805239,normal,,,,
PP,PP_f28c680cff,COMBO ALINO BOTELLA 500 GRS,2026-03-01,1013.84,943.5,1084.18,alta,False,usar como cantidad sugerida,activo,False,"diciembre, agosto, julio",330.92462156292686,0.069376230935624,normal,,,,
PP,PP_94e3303de3,SAL PARRILLERA ESPECIAS GRANEL,2026-03-01,981.02,966.98,995.06,alta,True,revisar antes de ordenar,activo,True,"febrero, agosto, noviembre",31.3884204709982,0.0143130052307333,normal,,,,
PP,PP_39797a38f9,* MOSTAZA Y MIEL GRANEL,2026-03-01,978.73,935.87,1021.59,alta,False,usar como cantidad sugerida,activo,False,"octubre, julio, enero",112.3818114429024,0.0437942783268588,normal,,,,
PP,PP_e146dc2ddc,* ALINO AHUMADO FINAS HIERBAS K,2026-03-01,976.2,921.42,1030.98,alta,True,revisar antes de ordenar,activo,True,"octubre, enero, julio",140.28119495661167,0.0561124779826446,normal,,,,
PP,PP_17d4ab2ac4,BBQ HAWAINA PRODUCCIÓN GRANEL,2026-03-01,933.36,896.88,969.84,alta,False,usar como cantidad sugerida,activo,False,"agosto, enero, octubre",96.97573831004443,0.0390837360140109,normal,,,,
PP,PP_f0edc32db4,LO ENG AJO PASTA DISPLAY X30,2026-03-01,932.25,878.13,986.37,alta,True,revisar antes de ordenar,activo,True,"junio, noviembre",0.0,0.0580567262506976,normal,,,,
PP,PP_3b2e046613,*SALSA CESAR KILOS GRANEL,2026-03-01,928.16,902.86,953.46,alta,False,usar como cantidad sugerida,activo,False,"enero, febrero, noviembre",72.30462549181209,0.0272528836047687,normal,,,,
PP,PP_3741832aaf,ANIS ESPANOL SELECCIONADO,2026-03-01,894.04,879.85,908.23,alta,True,revisar antes de ordenar,activo,True,"octubre, enero, abril",15.938893780572016,0.0158753922117251,normal,,,,
PP,PP_048061024e,*CALDO DE GALLINA GRANEL,2026-03-01,886.33,852.07,920.59,alta,True,revisar antes de ordenar,activo,True,"noviembre, julio, enero",46.30630741293379,0.038653011196105,normal,,,,
PP,PP_56fdcb366a,MAYONESA CREMOSA KL GRANEL GRAN,2026-03-01,879.77,828.69,930.85,alta,False,usar como cantidad sugerida,activo,False,"octubre, septiembre, noviembre",0.0,0.0580567262506976,normal,,,,
PP,PP_cc7610e3f0,AJI PARA SECOS Y ENCEB EMPACAR,2026-03-01,877.96,846.72,909.2,alta,False,usar como cantidad sugerida,activo,False,"julio, septiembre, diciembre",85.68110171801453,0.0355818528729296,normal,,,,
PP,PP_6e31c1e8de,BBQ PICANTE PRODUCCIÓN GRANEL,2026-03-01,877.19,859.95,894.43,alta,False,usar como cantidad sugerida,activo,False,"enero, agosto, diciembre",63.689812897289926,0.0196542559341862,normal,,,,
PP,PP_2e061c1b69,SMART SELECTION PAPRIKA FUNDA 2,2026-03-01,874.44,837.47,911.41,alta,True,revisar antes de ordenar,activo,True,"diciembre, noviembre, febrero",139.52258282305434,0.0422795705524407,normal,,,,
