source_type,periodo,dias_laborables,feriados_mes,promocion_general,temporada_alta_general,evento_comercial,variacion_precio_general_pct,observacion
PT,2023-01-01,,,,,,,
PT,2023-02-01,,,,,,,
PT,2023-03-01,,,,,,,
PT,2023-04-01,,,,,,,
PT,2023-05-01,,,,,,,
PT,2023-06-01,,,,,,,
PT,2023-07-01,,,,,,,
PT,2023-08-01,,,,,,,
PT,2023-09-01,,,,,,,
PT,2023-10-01,,,,,,,
PT,2023-11-01,,,,,,,
PT,2023-12-01,,,,,,,
PT,2024-01-01,,,,,,,
PT,2024-02-01,,,,,,,
PT,2024-03-01,,,,,,,
PT,2024-04-01,,,,,,,
PT,2024-05-01,,,,,,,
PT,2024-06-01,,,,,,,
PT,2024-07-01,,,,,,,
PT,2024-08-01,,,,,,,
PT,2024-09-01,,,,,,,
PT,2024-10-01,,,,,,,
PT,2024-11-01,,,,,,,
PT,2024-12-01,,,,,,,
PT,2025-01-01,,,,,,,
PT,2025-02-01,,,,,,,
PT,2025-03-01,,,,,,,
PT,2025-04-01,,,,,,,
PT,2025-05-01,,,,,,,
PT,2025-06-01,,,,,,,
PT,2025-07-01,,,,,,,
PT,2025-08-01,,,,,,,
PT,2025-09-01,,,,,,,
PT,2025-10-01,,,,,,,
PT,2025-11-01,,,,,,,
PT,2025-12-01,,,,,,,
PT,2026-01-01,,,,,,,
PT,2026-02-01,,,,,,,
PT,2026-03-01,,,,,,,
PT,2026-04-01,,,,,,,
PT,2026-05-01,,,,,,,
PT,2026-06-01,,,,,,,
PT,2026-07-01,,,,,,,
PT,2026-08-01,,,,,,,
PT,2026-09-01,,,,,,,
PP,2024-06-01,,,,,,,
PP,2024-07-01,,,,,,,
PP,2024-08-01,,,,,,,
PP,2024-09-01,,,,,,,
PP,2024-10-01,,,,,,,
PP,2024-11-01,,,,,,,
PP,2024-12-01,,,,,,,
PP,2025-01-01,,,,,,,
PP,2025-02-01,,,,,,,
PP,2025-03-01,,,,,,,
PP,2025-04-01,,,,,,,
PP,2025-05-01,,,,,,,
PP,2025-06-01,,,,,,,
PP,2025-07-01,,,,,,,
PP,2025-08-01,,,,,,,
PP,2025-09-01,,,,,,,
PP,2025-10-01,,,,,,,
PP,2025-11-01,,,,,,,
PP,2025-12-01,,,,,,,
PP,2026-01-01,,,,,,,
PP,2026-02-01,,,,,,,
PP,2026-03-01,,,,,,,
PP,2026-04-01,,,,,,,
PP,2026-05-01,,,,,,,
PP,2026-06-01,,,,,,,
PP,2026-07-01,,,,,,,
PP,2026-08-01,,,,,,,
