source_type,product_id,product_name,estado_producto,es_estacional,meses_estacionales,ultima_actividad,stock_actual,stock_minimo,stock_maximo,lead_time_dias,lote_minimo_produccion,observacion
PT,PT_0111,* CHIFLES  LARGOS FUNDA 150G(0111),activo,False,"febrero, octubre, julio",2026-03-01,,,,,,
PT,PT_0777,* CHIFLES REDONDO FUNDA 150g(0777),activo,False,"diciembre, enero, octubre",2026-03-01,,,,,,
PT,PT_4402,* CHIMICHURRI BALDE DE 4 KLS(4402),activo,False,"febrero, agosto, mayo",2026-03-01,,,,,,
PT,PT_8622,* CHIMICHURRI BOT 310 GRS. (8622),activo,False,"enero, febrero, noviembre",2026-03-01,,,,,,
PT,PT_1395,* CHIMICHURRI BOT 380 GRS. (1395),activo,False,"marzo, febrero, diciembre",2026-03-01,,,,,,
PT,PT_1388,* CHIMICHURRI BOT 500 GRS. (1388),activo,False,"octubre, marzo, agosto",2026-03-01,,,,,,
PT,PT_5033,* CHIMICHURRI DESHIDRATADO FRASCO 30 GR (5033),activo,False,"octubre, agosto, marzo",2026-03-01,,,,,,
PT,PT_4662,* CHIMICHURRI DOYPACK VALV 200G(4662),activo,False,"noviembre, febrero, enero",2026-03-01,,,,,,
PT,PT_2309,* CHIMICHURRI FDA 200 GRS(2309),activo,False,"octubre, febrero, mayo",2026-03-01,,,,,,
PT,PT_0861,* CHIMICHURRI NATURAL FCO 215G(0861),activo,False,"febrero, diciembre, enero",2026-03-01,,,,,,
PT,PT_0878,* CHIMICHURRI PICANTE FCO 215G(0878),activo,False,"febrero, septiembre, marzo",2026-03-01,,,,,,
PT,PT_4143,* COMBO N.1 ALINO 380G+CHIMI380GR+CALDO GALLINA 8g(4143),activo,False,"diciembre, marzo, junio",2026-03-01,,,,,,
PT,PT_6499,* COMBO N.13(SAL AJO+SALCEBOA+ (6499),activo,False,"marzo, febrero, junio",2025-09-01,,,,,,
PT,PT_5804,* COMBO N.20 ALIÑO 310G+SAL MARINA FCO70G+ PRODUCTO GRATIS (5804),inactivo,False,junio,2023-06-01,,,,,,
PT,PT_4167,* COMBO N.3 ALINO 500G+CHIMICHU500 GRS. (4167),activo,False,"marzo, enero, febrero",2026-03-01,,,,,,
PT,PT_4525,* COMBO N.5 SAZON380G+ ALINO BOT 310+ALIÑO(4525),activo,False,"marzo, mayo, diciembre",2026-03-01,,,,,,
PT,PT_4563,* COMBO N.6 SAZO 500G+CHIMI 380+ ALINO 90G (4563),activo,False,"marzo, junio, febrero",2025-11-01,,,,,,
PT,PT_6468,* COMBO N.8 (SAZON+CHIMICH200G+ALIN90G(6468),activo,False,"marzo, febrero, enero",2026-03-01,,,,,,
PT,PT_6313,* CREMA DE CHAMPINONES 70GR (6313),activo,False,"noviembre, diciembre, julio",2026-03-01,,,,,,
PT,PT_6320,* CREMA DE CHOCLO 70GR (6320),activo,False,"noviembre, diciembre, mayo",2026-03-01,,,,,,
PT,PT_0310,* DON HECTOR MAYONESA FRASCO 250 G (0310),activo,True,"febrero, abril, octubre",2026-03-01,,,,,,
PT,PT_0303,* DON HECTOR MOSTAZA FRASCO 300 G (0303),activo,True,"febrero, marzo, mayo",2026-03-01,,,,,,
PT,PT_0297,* DON HECTOR SALSA DE TOMATE FRASCO 300 G (0297),activo,True,"febrero, abril, octubre",2026-03-01,,,,,,
PT,PT_8619,* EL ARTESANAL ACEITE OLIVA EXTRA VIRGEN 200ML (8619),activo,True,"septiembre, enero, diciembre",2026-03-01,,,,,,
PT,PT_4715,* EL ARTESANAL ACEITE OLIVA EXTRA VIRGEN 250 ML (4715),activo,False,"julio, diciembre, marzo",2026-03-01,,,,,,
PT,PT_3165,* EL ARTESANAL AJI CON MANI 225 G (3165),activo,False,"abril, agosto, febrero",2026-03-01,,,,,,
PT,PT_3158,* EL ARTESANAL AJI PICANTE FRASCO 115G (3158),activo,True,"abril, febrero, diciembre",2025-04-01,,,,,,
PT,PT_4230,* EL ARTESANAL ALINO BOTELLA  500 G (4230),activo,False,"octubre, diciembre, julio",2026-03-01,,,,,,
PT,PT_6615,* EL ARTESANAL ALIÑO COMPLETO DOYPACK 215G (6615),activo,True,"diciembre, marzo, noviembre",2026-03-01,,,,,,
PT,PT_4865,* EL ARTESANAL BBQ PICANTE DOYPACK  200G (4865),activo,False,"julio, enero, diciembre",2026-03-01,,,,,,
PT,PT_6906,* EL ARTESANAL BOLITAS DE TAMARINDO 95G(6906),activo,False,"junio, agosto, mayo",2026-03-01,,,,,,
